total_nb_steps,cumulative_reward,loss
185,-110.0,5099.40966796875
186,-110.0,5099.40966796875
187,-110.0,5099.40966796875
188,-110.0,5099.40966796875
189,-110.0,5099.40966796875
190,-110.0,5099.40966796875
191,-110.0,5099.40966796875
192,-110.0,5099.40966796875
193,-110.0,5099.40966796875
194,-110.0,5099.40966796875
195,-110.0,5099.40966796875
196,-110.0,5099.40966796875
197,-110.0,5099.40966796875
198,-110.0,5099.40966796875
199,-15.199999999999932,5099.40966796875
200,79.60000000000014,6935.52490234375
201,88.00000000000011,6935.52490234375
202,96.40000000000009,6935.52490234375
203,18.40000000000009,6935.52490234375
204,-59.59999999999991,6935.52490234375
205,-84.79999999999995,6935.52490234375
206,-110.0,6935.52490234375
207,-110.0,6935.52490234375
208,-110.0,6935.52490234375
209,-110.0,6935.52490234375
210,-110.0,6935.52490234375
211,-110.0,6935.52490234375
212,-110.0,6935.52490234375
213,-110.0,6935.52490234375
214,-110.0,6935.52490234375
215,-110.0,6935.52490234375
216,-110.0,6935.52490234375
217,-110.0,6935.52490234375
218,-110.0,6935.52490234375
219,-110.0,6935.52490234375
220,-110.0,6401.68603515625
221,-15.199999999999932,6401.68603515625
222,79.60000000000014,6401.68603515625
223,88.00000000000011,6401.68603515625
224,96.40000000000009,6401.68603515625
225,18.40000000000009,6401.68603515625
226,-59.59999999999991,6401.68603515625
227,-84.79999999999995,6401.68603515625
228,-110.0,6401.68603515625
229,-110.0,6401.68603515625
230,-110.0,6401.68603515625
231,-110.0,6401.68603515625
232,-110.0,6401.68603515625
233,-110.0,6401.68603515625
234,-110.0,6401.68603515625
235,-110.0,6401.68603515625
236,-110.0,6401.68603515625
237,-110.0,6401.68603515625
238,-110.0,6401.68603515625
239,-110.0,6401.68603515625
240,-110.0,6667.513671875
241,-110.0,6667.513671875
242,-110.0,6667.513671875
243,-110.0,6667.513671875
244,-110.0,6667.513671875
245,-110.0,6667.513671875
246,-110.0,6667.513671875
247,-110.0,6667.513671875
248,-110.0,6667.513671875
249,-110.0,6667.513671875
250,-110.0,6667.513671875
251,-110.0,6667.513671875
252,-110.0,6667.513671875
253,-110.0,6667.513671875
254,-110.0,6667.513671875
255,-110.0,6667.513671875
256,-110.0,6667.513671875
257,-110.0,6667.513671875
258,-110.0,6667.513671875
259,-110.0,6667.513671875
260,-110.0,6466.50146484375
261,-110.0,6466.50146484375
262,-110.0,6466.50146484375
263,-110.0,6466.50146484375
264,-110.0,6466.50146484375
265,-110.0,6466.50146484375
266,-110.0,6466.50146484375
267,-110.0,6466.50146484375
268,-110.0,6466.50146484375
269,-110.0,6466.50146484375
270,-110.0,6466.50146484375
271,-110.0,6466.50146484375
272,-110.0,6466.50146484375
273,-110.0,6466.50146484375
274,-110.0,6466.50146484375
275,-110.0,6466.50146484375
276,-110.0,6466.50146484375
277,-110.0,6466.50146484375
278,-110.0,6466.50146484375
279,-110.0,6466.50146484375
280,-110.0,4045.32275390625
281,-110.0,4045.32275390625
282,-110.0,4045.32275390625
283,-110.0,4045.32275390625
284,-110.0,4045.32275390625
285,-110.0,4045.32275390625
286,-110.0,4045.32275390625
287,-110.0,4045.32275390625
288,-110.0,4045.32275390625
289,-110.0,4045.32275390625
290,-110.0,4045.32275390625
291,-110.0,4045.32275390625
292,-110.0,4045.32275390625
293,-110.0,4045.32275390625
294,-110.0,4045.32275390625
295,-110.0,4045.32275390625
296,-110.0,4045.32275390625
297,-110.0,4045.32275390625
298,-110.0,4045.32275390625
299,-110.0,4045.32275390625
300,-110.0,5158.51171875
301,-110.0,5158.51171875
302,-110.0,5158.51171875
303,-110.0,5158.51171875
304,-110.0,5158.51171875
305,-46.80000000000007,5158.51171875
306,-93.60000000000014,5158.51171875
307,-101.80000000000007,5158.51171875
308,-110.0,5158.51171875
309,-110.0,5158.51171875
310,-110.0,5158.51171875
311,-110.0,5158.51171875
312,-110.0,5158.51171875
313,-110.0,5158.51171875
314,-110.0,5158.51171875
315,-110.0,5158.51171875
316,-110.0,5158.51171875
317,-110.0,5158.51171875
318,-110.0,5158.51171875
319,-110.0,5158.51171875
320,-110.0,4556.78759765625
321,-110.0,4556.78759765625
322,-110.0,4556.78759765625
323,-110.0,4556.78759765625
324,-110.0,4556.78759765625
325,-110.0,4556.78759765625
326,-110.0,4556.78759765625
327,-110.0,4556.78759765625
328,-110.0,4556.78759765625
329,-110.0,4556.78759765625
330,-110.0,4556.78759765625
331,-110.0,4556.78759765625
332,-110.0,4556.78759765625
333,-110.0,4556.78759765625
334,-110.0,4556.78759765625
335,-110.0,4556.78759765625
336,-110.0,4556.78759765625
337,-110.0,4556.78759765625
338,-110.0,4556.78759765625
339,-110.0,4556.78759765625
